CBSA,MDIV,STCOU,NAME,LSAD,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,NPOPCHG2020,NPOPCHG2021,BIRTHS2020,BIRTHS2021,DEATHS2020,DEATHS2021,NATURALCHG2020,NATURALCHG2021,INTERNATIONALMIG2020,INTERNATIONALMIG2021,DOMESTICMIG2020,DOMESTICMIG2021,NETMIG2020,NETMIG2021,RESIDUAL2020,RESIDUAL2021
48100,,,"Wauchula, FL",Micropolitan Statistical Area,25327,25313,25425,-14,112,68,347,62,230,6,117,1,12,-20,-21,-19,-9,-1,4
48180,,,"Waycross, GA",Micropolitan Statistical Area,55967,55940,56009,-27,69,172,698,215,827,-43,-129,0,-1,17,194,17,193,-1,5
48220,,,"Weatherford, OK",Micropolitan Statistical Area,28513,28423,28163,-90,-260,106,347,102,365,4,-18,0,-3,-96,-241,-96,-244,2,2
48460,,,"West Plains, MO",Micropolitan Statistical Area,39750,39750,39975,0,225,110,470,167,607,-57,-137,0,2,60,358,60,360,-3,2
48500,,,"West Point, MS",Micropolitan Statistical Area,18636,18645,18535,9,-110,61,247,52,250,9,-3,0,2,1,-109,1,-107,-1,0
48580,,,"Whitewater, WI",Micropolitan Statistical Area,106478,106499,106799,21,300,235,860,282,1242,-47,-382,0,-3,73,672,73,669,-5,13
48780,,,"Williston, ND",Micropolitan Statistical Area,40950,41149,38484,199,-2665,203,758,69,241,134,517,2,24,57,-3144,59,-3120,6,-62
48820,,,"Willmar, MN",Micropolitan Statistical Area,43732,43685,43767,-47,82,160,550,123,469,37,81,0,68,-82,-75,-82,-7,-2,8
48940,,,"Wilmington, OH",Micropolitan Statistical Area,42018,41962,42004,-56,42,113,467,158,553,-45,-86,4,16,-14,104,-10,120,-1,8
48980,,,"Wilson, NC",Micropolitan Statistical Area,78784,78811,78369,27,-442,237,906,253,1123,-16,-217,1,25,46,-261,47,-236,-4,11
49060,,,"Winfield, KS",Micropolitan Statistical Area,34549,34498,34496,-51,-2,95,359,120,574,-25,-215,-2,5,-22,205,-24,210,-2,3
49080,,,"Winnemucca, NV",Micropolitan Statistical Area,17285,17283,17648,-2,365,54,228,45,145,9,83,0,5,-12,279,-12,284,1,-2
49100,,,"Winona, MN",Micropolitan Statistical Area,49671,49606,49630,-65,24,116,447,127,501,-11,-54,0,19,-53,50,-53,69,-1,9
49220,,,"Wisconsin Rapids-Marshfield, WI",Micropolitan Statistical Area,74207,74091,74070,-116,-21,165,781,237,941,-72,-160,0,6,-39,121,-39,127,-5,12
49260,,,"Woodward, OK",Micropolitan Statistical Area,24219,24130,23967,-89,-163,59,295,59,328,0,-33,0,10,-89,-142,-89,-132,0,2
49300,,,"Wooster, OH",Micropolitan Statistical Area,116894,116840,116710,-54,-130,363,1356,376,1386,-13,-30,-1,30,-37,-150,-38,-120,-3,20
49380,,,"Worthington, MN",Micropolitan Statistical Area,22290,22183,21991,-107,-192,82,374,56,225,26,149,0,40,-133,-378,-133,-338,0,-3
49460,,,"Yankton, SD",Micropolitan Statistical Area,23310,23238,23297,-72,59,54,262,89,272,-35,-10,-1,11,-34,54,-35,65,-2,4
49780,,,"Zanesville, OH",Micropolitan Statistical Area,86410,86342,86408,-68,66,226,964,297,1145,-71,-181,0,11,6,221,6,232,-3,15
49820,,,"Zapata, TX",Micropolitan Statistical Area,13889,13884,13908,-5,24,50,193,20,130,30,63,0,3,-36,-42,-36,-39,1,0
